,Title,Budget,Movie ID,Revenue
818,Rugrats in Paris: The Movie,30,16340,103
819,Scream 2,24000000,4233,172363301
821,The Signal,4000000,242095,2665322
822,Sin City,40000000,187,158733820
824,Supergirl,35000000,9651,14296438
825,Superman Returns,270000000,1452,391081192
826,Surf's Up,85000000,9408,149044513
827,The Bounty Hunter,40000000,27573,136000000
828,The Bucket List,45000000,7350,175372502
830,The Figurine,300000,381961,200000
831,The Flintstones,46000000,888,341631208
832,The Flintstones in Viva Rock Vegas,83000000,889,59468275
836,The Pursuit of Happyness,55000000,1402,307077295
837,The Rugrats Movie,30000000,14444,100491683
839,The Squid and the Whale,1500000,10707,11098131
840,The Time Traveler's Wife,39000000,24420,101344412
841,Trainspotting,4000000,627,16491080
842,Troy,175000000,652,497409852
843,The Tunnel,135000,46221,0
844,Unaccompanied Minors,26000000,18147,0
853,Brooklyn's Finest,17000000,26390,45719985
854,Chappaquiddick,34000000,432301,17904202
857,Dev.D,1700000,15977,7600000
868,Jagga Jasoos,19700000,401285,12500000
870,Jodhaa Akbar,5800000,14073,28700000
879,Kismat Konnection,4180000,15467,11000000
880,Kurbaan,7700000,24613,6600000
881,Lock Up,24000000,9972,22099847
882,Luv Shuv Tey Chicken Khurana,460000,138370,1600000
886,Brokeback Mountain,14000000,142,178043761
893,Naan Sigappu Manithan,1200000,240865,2800000
899,Phantom,10000000,152259,1034589
902,Death Race,45000000,10483,76014335
903,Death Race 2,7000000,51620,0
906,12 Strong,35000000,429351,67131266
913,V for Vendetta,54000000,752,132511035
915,Wake Up Sid,3000000,21297,11000000
918,Zack and Miri Make a Porno,24000000,10358,42105111
919,Zindagi Kitni Haseen Hay,280000,421334,950000
937,It's for Your Own Good,2700000,435050,0
950,Monster High: New Ghoul at School,460000,183443,0
951,My Life as a Zucchini,8000000,393559,5873256
968,Bombshell,32000000,525661,53774397
975,Much Ado About Nothing,11000000,11971,22551000
977,My Big Night,4434040,335053,0
981,Riphagen the Untouchable,2577217,400387,0
983,Someone Like You...,23000000,12658,38689940
1009,Case 39,27000000,28355,29000000
